source_key,source_name,part,division,subdivision,section,section_title,content
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",PD 1/20 17,,,PD 1/20 17,PD 1/20 17,"31 January 2017
(Revised: 1 October 2024)
COMPANIES ACT 2016: PRACTICE DIRECTIVE NO. 1/2017
(REVISED)
DOCUMENTS UNDER THE COMPANIES ACT 2016, THE"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",LODGEMENT REQUIREMENTS AND RELATED MATTERS,,,LODGEMENT REQUIREMENTS AND RELATED MATTERS,LODGEMENT REQUIREMENTS AND RELATED MATTERS,"1. This Practice Directive is issued pursuant to section 20C of
the Companies Commission of Malaysia 2001 and section 610 of
the Companies Act 2016."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",OBJECTIVES,,,OBJECTIVES,OBJECTIVES,"2. The objectives of this Practice Directive are:
(a) to specify the documents which are referred to in the
Companies Act 2016 for the purposes of lodgement
with the Registrar or for the execution by the
directors, officers, members or company; and
(b) to determine the general requirements for the
lodgement of the documents and related matters."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",OF DOCUMENTS,,,OF DOCUMENTS,OF DOCUMENTS,"3. Section 610 of the Companies Act 2016 empowers the
Registrar to determine the particulars, form and manner of the
lodgement of information to be lodged.
4. As a general rule, regulation 3 of the Companies
Regulations 2017 states that:
""All documents required to be lodged with the Registrar under
the Act, and all applications for any matters as specified in the
Schedule, shall be lodged or made, as the case may be, through the
electronic filing system unless otherwise directed by the Registrar."".
5. Apart from the electronic lodgment services offered by the
Registrar, all other lodgments must be made at the SSM Offices."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",SERVICES,,,Schedule A.,Schedule A.,"7. All electronic lodgments must comply with the directions
specified in the electronic forms.
8. In addition, all particulars which are necessary to be
completed, acted upon or executed before the documents are"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",PD 1/20 17,,,PD 1/20 17,PD 1/20 17,"31 January 2017
(Revised: 1 October 2024)
lodged with the Registrar must have been duly completed, acted
upon or executed, as the case may be."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",OFFICES,,,OFFICES,OFFICES,"9. The documents which are to be lodged at SSM Offices are
listed in Schedule B.
10. Strict compliance with the documents contained in"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",OFFICES,,,"Schedule B is not necessary, and substantial compliance is","Schedule B is not necessary, and substantial compliance is","sufficient.
11. Where a document specified in Schedule B requires
additional information either by way the insertion of, or the"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",OFFICES,,,attachment shall form as part of the document.,attachment shall form as part of the document.,"12. A document to be lodged with the Registrar must comply
with the following requirements:
(a) the document must be on paper of medium weight
and good quality and of international sheet size A4
only except in the case of a prospectus, of a size not
less international sheet size A5 and not more than
international size A4;"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",PD 1/20 17,,,PD 1/20 17,PD 1/20 17,"31 January 2017
(Revised: 1 October 2024)
(b) the document must be clearly printed, typewritten or
otherwise produced in a manner that is permanent
and will make possible a reproduction by
photographic means and shall be in type of a size not
less than the type known as ten point font, Arial
unless otherwise approved by the Registrar;
(c) the document must have margins of not less than
2.5cm on the left-hand side and not less than 1.5cm
on the right-hand side;
(d) the document must have on the upper right-hand
corner of its first page, a space measuring 15cm in
width and 10cm in length;
(e) where the document comprises more than 2 sheets-
(i) the sheets must be bound together securely by
a treasury tag (the use of staples is strictly
prohibited); and
(ii) each sheet must have a margin of not less than
2.5cm on the side on which it is bound in
addition to any space required for binding;
(f) where the document comprises more than 20 sheets,
in addition to the requirements in paragraph (g),-"
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",PD 1/20 17,,,PD 1/20 17,PD 1/20 17,"31 January 2017
(Revised: 1 October 2024)
(i) the document must be bound securely inside a
durable and flexible cover;
(ii) the document must be punched with two holes
of 0.6cm in diameter and measuring 8cm apart
on the left hand margin;
(g) the document shall have:
(i) on the upper left-hand corner, the company
number allocated by the Registrar to the
corporation to which the document relates;
(ii) the name of the corporation to which the
document relates;
(iii) the title of the document;
(iv) the name, address and telephone number of
the solicitor or other person by, or on whose
behalf, the document is lodged; and
(h) the document shall be endorsed with the name,
address and telephone number of any person by or
on whose behalf the document is lodged at the end of
each document.
13. If a document failed to comply with the requirements stated
in paragraph 12, the documents will not be accepted for prelodgment."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",PD 1/20 17,,,PD 1/20 17,PD 1/20 17,"31 January 2017
(Revised: 1 October 2024)
FEE
14. The fees in respect of the lodgement of a document as
specified in the Companies Regulations 2017 must be paid at the
time the document is lodged, unless otherwise directed by the
Registrar.
15. Where a fee is payable for or in respect of any matter
involving the doing of any act or thing by the Minister or
Registrar, the Minister or Registrar is precluded from doing that
act or thing until the fee has been paid."
ca_pd1_2017,"Practice Directive 1/2017 (Revised) - Documents under the Companies Act 2016, the Lodgement Requirements and Related Matters",LATE LODGEMENT PENALTY,,,LATE LODGEMENT PENALTY,LATE LODGEMENT PENALTY,"16. Unless an application for an extension of time has been
approved, documents to be lodged with the Registrar shall
comply with the timeline for lodgment as stipulated in the Act. If
the timeframe is not provided for, the time to lodge the
documents is thirty days from the time the requirement to lodge
the document arises.
17. If a document is lodged later that the prescribed timeframe,
the following late lodgment penalty shall apply:
Description | Penalty
For late lodgement of document after the
period prescribed under this Act or
pursuant to an extension under s 609(2)
by-
(a) a public company or foreign company | (i) More than 7 RM150
days but not"
