source_key,source_name,part,division,subdivision,section,section_title,content
ca_gazette28,Companies (Amendment of Eighth Schedule) Order 2025,,,,,,"10 Januari 2025
10 January 2025
FEDERAL GOVERNMENT
GAZETTE
(PINDAAN JADUAL KELAPAN) 2025
COMPANIES (AMENDMENT OF
EIGHTH SCHEDULE) ORDER 2025 |"
ca_gazette28,Companies (Amendment of Eighth Schedule) Order 2025,Citation and commencement,,,Citation and commencement,Citation and commencement,1. (1) This order may be cited as the Companies (Amendment of Eighth
ca_gazette28,Companies (Amendment of Eighth Schedule) Order 2025,Schedule – Fees,,,Schedule – Fees (Regulation 8),Schedule – Fees (Regulation 8),"(2) This Order comes into operation on 31 January 2025.
Amendment of Eighth Schedule
2. The Eighth Schedule to the Companies Act 2016 is amended-
(a) by deleting paragraph 1;
(b) by deleting paragraph 2;
(c) by inserting after the deleted paragraph 2 the following paragraph:
""2A. A company is eligible for a moratorium for corporate
voluntary arrangement proposed by the directors, judicial manager or
liquidator if-
(a) the company is being wound up;
(b) the company is under a judicial management order;
(c) the company is not a licensed institution or
operator of a designated payment system regulated
under the laws enforced by the Central Bank
of Malaysia;
(d) the company is not approved or registered under
Part II, not licensed or registered under Part III,
not approved under Part IIIA or not recognised under
Part VIII of the Capital Markets and Services Act 2007;
or
(e) the company is not approved under Part II of
the Securities Industry (Central Depositories)
Act 1991."";
(d) in paragraph 3, by substituting for the words ""paragraphs 1 and 2""
the words ""paragraph 2A"";
(e) in paragraph 9, by substituting for the words ""or Official Receiver""
the words "", Official Receiver, judicial manager or liquidator"";
(f) by substituting for paragraph 10 the following paragraph:
""10."
ca_gazette28,Companies (Amendment of Eighth Schedule) Order 2025,Schedule – Fees,,,Schedule – Fees (Regulation 8),Schedule – Fees (Regulation 8),"After being notified under paragraph 9, the nominee
shall, within seven days from the date of the notification -
(a) notify the Registrar of the fact of
the commencement of the moratorium;
(b) notify the company and any petitioning creditor of
the company of whose claim he is aware of the fact
of the commencement of the moratorium; and
(c) advertise the fact in one widely circulated
newspaper in Malaysia in the national language
and one widely circulated newspaper in Malaysia in
the English language.""; and
(g) in subparagraph 12(a)-
(i) by deleting the words ""in the website of the Commission and"";
and
(ii) in the English language text, by substituting for the word ""or""
the word ""and"".
[KPDNKK.100-1/4/11; PN(PU2)740/JLD.4]
DATUK ARMIZAN BIN MOHD ALI
Minister of Domestic Trade and Cost of Living"
