source_key,source_name,part,division,subdivision,section,section_title,content
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARIES UNDER SECTION 241 OF THE COMPANIES ACT,,,SECRETARIES UNDER SECTION 241 OF THE COMPANIES ACT,SECRETARIES UNDER SECTION 241 OF THE COMPANIES ACT,"These Guidelines are issued pursuant to section 20C of the
Companies Commission of Malaysia Act 2001 [Act 614] (CCMA
2001)."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,OBJECTIVE,,,OBJECTIVE,OBJECTIVE,"These Guidelines serve as a guidance for individuals who wish to act
as a secretary pursuant to section 241 of the Companies Act 2016
[Act 777] (CA 2016)."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,GENERAL REQUIREMENTS,,,GENERAL REQUIREMENTS,GENERAL REQUIREMENTS,"2. Section 241 of the CA 2016 requires any person who is
qualified to act as a secretary and who desires to act as a secretary
to register with the Registrar before he can act as a secretary.
3. The Registrar will issue a practising certificate under section
241 upon satisfaction on the qualification and requirements
specified under the CA 2016, Regulation and Guidelines."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,QUALIFICATION TO ACT AS SECRETARY,,,QUALIFICATION TO ACT AS SECRETARY,QUALIFICATION TO ACT AS SECRETARY,"4. Under section 235 of the CA 2016, a person is qualified to act
as a secretary if he is:
(a) a natural person;
(b) eighteen years of age and above;
(c) a citizen or permanent resident of Malaysia; and
(d) a person licensed by the Commission under section 20G
of the Companies Commission of Malaysia Act 2001
(CCMA 2001), or a member of approved bodies as set
out in the Fourth Schedule of the CA 2016, as follows:
(i) Malaysian Institute of Chartered Secretaries and
Administrators (MAICSA);
(ii) Malaysian Institute of Accountants (MIA);
(iii) Malaysian Bar (BC);
(iv) Malaysian Association of Company Secretaries
(MACS);
(v) Malaysian Institute of Certified Public
Accountants (MICPA);
(vi) Sabah Law Society (SLS); or
(vii) Advocates Association of Sarawak (AAS).
5. A person who has been appointed as a secretary of a company
prior to the enforcement of section 241 of the CA 2016 may continue
to act as a secretary to the company and is required to register with
the Registrar within twelve months from the enforcement date.
6. A person who is not a citizen or permanent resident of
Malaysia but has been appointed as a secretary prior to 31 January
2017 may apply for practising certificate to act as a secretary
subject to the following conditions:
(a) he shall only act as a secretary to the company of which
he was appointed before 31 January 2017;
(b) he shall not accept any new appointment as a secretary;
and
(c) he has complied with the requirements stated under"
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARY,,,SECRETARY,SECRETARY,"Pre-requisites
7. The applicant must ensure that the qualifications specified
under paragraph 4 are complied with before submitting the
application to SSM.
8. Additionally, the applicant must also ensure that:
(a) he is not disqualified under section 238 of the CA 2016;
and
(b) he does not have any pending legal action against him
under any provision of the laws specified in the First"
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARY,,,Schedule of the CCMA 2001.,Schedule of the CCMA 2001.,"Documents and Processing Fee
9. The applicant must provide all particulars specified under
regulation 2 of the Companies (Practising Certificate for Secretaries)
Regulations 2019. The application must be lodged through the
electronic filing system provided by Companies Commission of
Malaysia (SSM).
Practising Certificate
10. If the Registrar is satisfied that the requirements as to the
registration are complied with and that the applicant is fit and proper
to be registered, the Registrar shall issue a practising certificate
which shall be valid for a period of one year from the date of
issuance.
11. For the purposes of these Guidelines, a person is fit and proper
to hold a practising certificate if he is issued with a practising
certificate by the Registrar after considering the following:
(a) the character, qualification and experience of the
person;
(b) the interest of the public; and
(c) whether the person has previously contravened any
provisions of the laws specified in the First Schedule of
the CCMA 2001."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARY,,,SECRETARY,SECRETARY,"Renewal of practising certificate
12. The application for renewal of the practising certificate shall
be made not less than thirty days before the expiry date by
providing all particulars specified under Regulation 2 of the
Companies (Practising Certificate for Secretaries) Regulations 2019.
It is imperative that the application for renewal must be made within
the timeframe to avoid a lapse in time in the validity of the practising
certificate.
13. The applicant must ensure that the following requirements are
complied with before submitting an application for renewal to the
Registrar:
(a) The applicant has complied with paragraphs 7 and 8;
(b) The applicant is fit and proper to be issued with a
practising certificate pursuant to paragraph 11;
(c) The applicant has completed the Continuing
Professional Education (CPE) requirements under these
Guidelines; and
(d) The applicant has been appointed and named as a
secretary in at least one company during the validity period
of the practising certificate preceding its renewal.
Validity of Renewed Practising Certificate
16. The renewal of the practising certificate shall be valid for a
period of not more than three years.
14. Failure to comply with any of the above requirements will
cause the application to be queried. The applicant is required to
answer the query within fourteen days from the date of the query.
Failure to respond to the query within the timeframe may result in
the application being rejected.
15."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARY,,,SECRETARY,SECRETARY,"In a case where a secretary failed to apply for renewal after
twelve months from the expiry date of the practising certificate, the
Registrar will revoke the practising certificate. In such situation the
secretary will have to submit a new application and he will be treated
as though he has never applied for a practising certificate.
(a) he is no longer qualified to act as a secretary under section
238 of the CA 2016;
(b) his name ceases to be registered in the Register of
Secretaries pursuant to section 241 of the CA 2016; or
(c) his practising certificate has been revoked by the Registrar.
19. A practising certificate may be suspended pursuant to
Regulation 5 of the Companies (Practising Certificate for
Secretaries) Regulations 2019 on the following grounds:
(a) the membership of the secretary has been suspended
by the approved bodies specified under the Fourth"
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SECRETARY,,,Schedule of the CA 2016; or,Schedule of the CA 2016; or,"(b) the licence has been suspended by the Commission
under section 20H of the CCMA 2001.
CESSATION AS HOLDER OF PRACTISING CERTIFICATE |
17. A person ceases to be a holder of a practising certificate if: |
18. Where a person ceases to be a holder of practising certificate
pursuant to paragraph (a) or (b), the person must notify the
Registrar and the companies of which he is appointed as secretary,
in writing within fourteen days from the date of the event."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SUSPENSION OF PRACTISING CERTIFICATE,,,SUSPENSION OF PRACTISING CERTIFICATE,SUSPENSION OF PRACTISING CERTIFICATE,"20. If the suspension period exceeds thirty days, the secretary
shall notify of the suspension in writing to the company of which he
has been appointed."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,REVOCATION OF PRACTISING CERTIFICATE,,,REVOCATION OF PRACTISING CERTIFICATE,REVOCATION OF PRACTISING CERTIFICATE,"21. The Registrar shall have the power to revoke the practising
certificate pursuant to Regulation 6 of the Companies (Practising
Certificate for Secretaries) Regulations 2019."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,APPEAL TO MINISTER,,,APPEAL TO MINISTER,APPEAL TO MINISTER,"22. Any person who is aggrieved by the decision of the Registrar
in relation to the application, renewal and revocation of a practising
certificate may appeal to the Minister pursuant to Regulation 7 of
the Companies (Practising Certificate for Secretaries) Regulations
2019.
23. An appeal to the Minister referred to in paragraph 22 shall be
made through the Registrar and be accompanied with a fee of
RM300.00 as provided under the Schedule of Companies (Practising
Certificate for Secretaries) Regulations 2019."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,SURRENDER OF PRACTISING CERTIFICATE,,,SURRENDER OF PRACTISING CERTIFICATE,SURRENDER OF PRACTISING CERTIFICATE,"24. A secretary may surrender the practising certificate pursuant
to Regulation 8 of the Companies (Practising Certificate for
Secretaries) Regulations 2019.
25. The surrender of a practising certificate shall not take effect
until the Registrar is satisfied that adequate arrangements have
been made by the secretary to meet all liabilities and obligations
arising from his appointment that are outstanding at the time the |
notice of surrender was given to the Registrar. |
DUTIES, RESPONSIBILITIES AND CONDUCT OF A SECRETARY |
26. In addition to the duties and responsibilities relating to a |
secretary in the CA 2016 or other written laws, a secretary must |
comply with the duties and responsibilities under these Guidelines. |
Duty in relation to registered office and registers |
27. A secretary must, either in person or his employee or by his |
agent: |
| (a) be present at the registered office of the company on
| the days and at the hours during which the registered
| office is to be accessible to the public;
| (b) maintain and keep updated all the registers, records and
| books which are required to be kept at the registered
| office; and
| (c) provide the statutory documents within specific time as
| requested by any person who is entitled to inspect such
| document and records at registered office.
Duty to act honestly and use reasonable diligence
28. A secretary must at all times act honestly and use reasonable
diligence in discharging his duties as a secretary. The duties may
include, but not limited to the following:
(a) manage, attend and record the proceedings of the
meetings of the board of directors;
(b) manage, attend and record the proceedings of the
meetings of shareholders;
(c) manage the processes relating to the passing of
resolutions of the board of directors and of the
company;
(d) advising the board of directors on statutory
requirements under the CA 2016 and other disclosure
and governance requirements relevant to the
company;
(e) ensure the statutory documents and records to be
provided to the new secretary or company at the
registered office once he ceased office as secretary;
(f) perform verification on company documents prior to
submission to SSM to ensure accuracy, authenticity and
compliance with the prescribed legal requirements;
(g) demonstrate professional conduct and ethics that
uphold the integrity of the company secretarial
profession, including diligence, responsibility,
competence in performing professional duties,
propriety in professional conduct and behaviour
befitting a secretary; and
(h) any other duties imposed under the CA 2016.
(a) acting as a formation agent of legal entities;
Duty as reporting institutions
29. A secretary must comply with the requirements under the
Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of
Unlawful Activities Act 2001 [Act 613] when the secretary, whether
in person or through a firm or company, prepares or carries out the
following activities:
(b) acting as or arrange for another person to act as a
director or secretary of a company, a partner of a
partnership, or a similar position in relation to other
legal entities;
(c) providing a registered office, business address or
accommodation, correspondence or administrative
address for a company, a partnership, or any other
legal entities or arrangement;
(d) acting as or arrange for another person to act as a
nominee shareholder for another person; or
(e) any other duties imposed under Anti Money
Laundering, Anti-Terrorism Financing and Proceeds of
Unlawful Activities (AMLA) regulations, guidelines,
circulars or notices issued by Bank Negara Malaysia.
30. For avoidance of doubt, paragraph 29 is applicable to any
person who is issued with a practising certificate under section 241
of the CA 2016.
Duty as member of approved body
31. A secretary may be a member of more than one of the
approved bodies. Notwithstanding, the secretary must designate
one approved body for the purpose of applying for a practising
certificate.
32. If there are any changes in the membership of the designated
approved body, the secretary must update the Registrar on the
changes within fourteen days from the date the change occurred.
33. If a secretary is a member of more than one of the approved
bodies as specified under the Fourth Schedule of the CA 2016 and
his membership in one of the approved bodies has been suspended
or revoked, he is deemed to be no longer qualified to act as
secretary pursuant to paragraph 235(2)(a) of the CA 2016.
Continuing Professional Education
34. A secretary must always enhance his knowledge and standard
of professionalism by attending any course of studies, training and
practical experience in the discharge of his duties and
responsibilities.
35. For the purpose of paragraph 34, the minimum total
Continuing Professional Education (CPE) hours to be complied with
during the validity period of a practising certificate are as follows:
| Validity period of
practising certificate | | | Type of
training/courses | Percentage of
CPE hours
allowed
| 1
year | 2
years | 3 years | |
Minimum
CPE hours
required | 20
CPE
hours | 40 60"
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,CPE CPE,,,CPE CPE,CPE CPE,"hours hours
(Cumulative*) | | Courses relating
to company
secretarial
practice,
company and
corporate law | Minimum of
60%
of total minimum
CPE hours
| | | | Other courses
relating to
industry in which
a company is
operating | Maximum of
25%
of total
minimum CPE
hours
| | | | Personal
development | Maximum of
15%
of total minimum
CPE hours
Validity period of
practising certificate
Percentage of
CPE hours
allowed
Type of
training/courses
* If the validity period of a certificate is more than 1 year, the CPE hours
may be accumulated in the duration of that period.
36. In the case where a secretary's previous practising certificate
has expired pursuant to paragraph 16 and the CPE requirements
were not fulfilled, the secretary shall be required to complete all
outstanding CPE points before submitting a new application for a
practising certificate. Failure to comply with this requirement may
result in the application being rejected.
37. The trainings or courses specified under paragraphs 39, 40,
41 and 42 of these Guidelines are part of the courses relating to
company secretarial practice, company and corporate law as
stipulated in paragraph 35 of these Guidelines and will be counted
as part of the required minimum CPE hours.
38. The Registrar may issue circulars on CPE requirements from
time to time.
Mandatory Training Requirement in Relation to a Secretary's
Duty as Reporting Institution
39. A secretary holding a practising certificate under section 241
of the CA 2016 is required to complete relevant training program or
course focusing on Anti-Money Laundering, Countering
Financing of Terrorism, Countering Proliferation Financing
And Targeted Financial Sanctions (AML/CFT/CPF and TFS)
organized by any approved bodies or regulatory authorities provided
that the program must specifically address the duties and
responsibilities of secretaries in their capacity as reporting
institutions. This mandatory requirement shall take effect from 1
January 2026.
40. For the purpose of paragraph 39, a secretary is required to
comply within the following timelines:
(a) A secretary holding valid practising certificate must
complete the prescribed training or course within three
years from 1 January 2026 or from the issuance of
the first practising certificate, whichever is later; and
(b) A secretary who has attended the prescribed training or
course within the two years preceding 1 January 2026
is exempted from this requirement.
Duty relating to practising certificate
43. A secretary must state the practising certificate number when
executing any document in his capacity as a secretary or when
lodging any document or in correspondences with the Registrar.
44. A secretary must not permit any other person, including third
party from using his practising certificate number for the purpose of
carrying out transactions including online submissions or dealings
on behalf of the secretary.
45. The practising certificate shall not, under any circumstances,
be transferred, assigned or used by any other person. The use of
the practising certificate is strictly limited to the practising certificate
holder only.
46. Any secretary who contravenes paragraphs 43, 44 and 45
shall be regarded as having breached the duties prescribed under
the practising certificate.
Mandatory Training Requirement for a Secretary of
Companies Limited by Guarantee
41. A secretary acting as a secretary for a company limited by
guarantee (CLBG) is required to comply with the training
requirement specified in the ""Guidelines on Company Limited By
Guarantee"".
42. A secretary of a CLBG appointed after 1 January 2026 must
complete the training or course on CLBG under the CA 2016
organized by SSM within one year from the date of his
appointment."
ca_gl_6,Guidelines Relating to Practising Certificate for Secretaries under Section 241 of the Companies Act 2016,EFFECT OF THESE GUIDELINES,,,EFFECT OF THESE GUIDELINES,EFFECT OF THESE GUIDELINES,"47. These Guidelines superseded the guidelines issued on 1
August 2022."
