source_key,source_name,part,division,subdivision,section,section_title,content
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,,,,,,"14 Julai 2025
14 July 2025
FEDERAL GOVERNMENT
GAZETTE
COMPANIES (LICENCE FOR LAND HOLDING)
REGULATIONS 2025 |"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,,,,,,"of the Companies Act 2016 [Act 777], the Minister makes the following regulations:"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Citation and commencement,,,Citation and commencement,Citation and commencement,1. (1) These regulations may be cited as the Companies (Licence for Land
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Holding) Regulations 2025.,,,Holding) Regulations 2025.,Holding) Regulations 2025.,"2. In these Regulations, ""company"" means a company limited by guarantee in
accordance with section 45 of the Act."
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Application of licence for land holding,,,Application of licence for land holding,Application of licence for land holding,"3. (1) An application for a licence under subsection 45(4) of the Act to hold land
by a company shall be made to Minister, through the Registrar, together with payment
of fee of three hundred ringgit."
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Application of licence for land holding,,,Application of licence for land holding,Application of licence for land holding,"(2) An application under subregulation (1) shall be accompanied with-
(a) a statement containing-
(i) the purpose to hold the land;
(ii) the method of acquiring the source of funds, holding of the land or
financing and arrangement of payment;
(iii) the price or value of the land; and
(iv) the main activities of the company;
(b) a latest copy of list of lands owned by the company under
subsection 45(4) of Act, if any;
(c) a copy of stamped agreement or deed of gift, or other supporting
documents relevant to the acquisition or holding of the land;
(d) a copy of the latest title, master title, strata title or other supporting
documents relevant to the acquisition or holding of the land;
(e) a copy of a private land search within three months of each application
to acquire or hold the land, as the case requires;
(f) a copy of audited financial statement of the company for the last
two years which had been lodged with the Registrar, unless the company
acquires or holds the land by way of gift;
(g) a copy of directors' resolution in relation to the approval to acquire or
hold the land;
(h) a copy of a statement of arm's length transaction by all the directors and
trustees;
(i) a copy of the latest valuation report from a licensed valuer within
two years of each application, unless the company acquires or holds the
land by way of a gift;
(j) a statutory declaration, by the secretary or one of the directors
or trustees, that in making this application, the company has complied
with"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Application of licence for land holding,,,Application of licence for land holding,Application of licence for land holding,"all requirements of the current constitution of the company; and
(k) any other related information or documents, if any, as required by
the Registrar.
(3) The application under subregulation (1) shall only be considered when all the
terms and conditions attached to the land has been complied with.
(4) For the purposes of these Regulations, land that can be hold by a company"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Issuance of licence,,,Issuance of licence,Issuance of licence,"4. If the Minister is satisfied that all the requirements under these Regulations are
complied with and the application under regulation 3 has been approved,
the Minister shall issue the licence for land holding to the company who made
the application."
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Conditions of licence,,,Conditions of licence,Conditions of licence,"5. Upon issuance of the licence under regulation 4, the company-
(a) shall ensure that the land or the revenue from such land is used for the
purposes specified in the objects of the company;
(b) shall ensure that the revenue from the land not to be used by its members or
directors to carry out any activity which is against its constitution;
(c) shall not charge, mortgage, lease, subdivide, partition, vested in, dispose or
transfer the land of the company without the prior approval of the Registrar;
and
(d) shall comply with any written law applicable to the land."
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Revocation of licence,,,Revocation of licence,Revocation of licence,"6. (1) If the company that has been granted the licence under regulation 4 fails to
comply with any conditions specified under regulation 5, the Minister may, upon the
recommendation of the Registrar, revoke the licence granted.
(2) The company of which its licence has been revoked under subregulation (1)
shall dispose the land held within two years from the date of the revocation of the licence.
(3) If the company fails to dispose the land in accordance with the period specified"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Revocation of licence,,,Revocation of licence,Revocation of licence,"dispose the land before the expiry of two years specified and shall state the reasons
accordingly.
(4) If the Registrar is satisfied with the reasons given by the company under
subregulation (3), the Registrar may extend the period of two years referred to"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Offence,,,Offence,Offence,"7. Any company which fails to comply with regulation 5 commits an offence and shall,
on conviction, be liable to a penalty not exceeding five hundred thousand ringgit."
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Saving and transitional,,,Saving and transitional,Saving and transitional,"8. (1) Any licence granted by the Minister in relation to holding of land under
section 45 of the Act before the date of coming into operation of these Regulations shall
continue to remain in force and have effect until the licence expires, withdrawn or
cancelled.
(2) Any application for a licence to hold a land under section 45 of the Act pending
on the date of the coming into operation of these Regulations shall on the coming into
operation of these Regulations be dealt under any guideline, circular or practice note in
relation to an application for a licence to hold a land issued under the Companies"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Saving and transitional,,,"Commission Malaysia Act 2001 [Act 614], and the guidelines, circulars or practice notes","Commission Malaysia Act 2001 [Act 614], and the guidelines, circulars or practice notes","shall be deemed to have been made under, or in accordance with, or by virtue of, the Act.
(3) Any company which is a licence holder of holding a land or has acquired the
licence to hold a land under section 45 of the Act before the coming into operation of these"
ca_gazette30,Companies (Licence For Land Holding) Regulations 2025,Saving and transitional,,,"Regulations, shall within six months, on the coming into operation of these Regulations,","Regulations, shall within six months, on the coming into operation of these Regulations,","comply with the conditions as specified in regulation 5.
[KPDNKK 100-1/4/25; PN(PU2)740/JLD.4]
DATUK ARMIZAN BIN MOHD ALI"
